text,language,text_length,tokens,extracted_features
हय झतक नवय परतत थइचय सथन लककड तचय मइभषत उलइज पडतल दकन तचय उलऊचय रततआन सबदत सथन भषच मसत परभव पडत,kok,172,"['हय', 'झतक', 'नवय', 'परतत', 'थइचय', 'सथन', 'लककड', 'तचय', 'मइभषत', 'उलइज', 'पडतल', 'दकन', 'तचय', 'उलऊचय', 'रततआन', 'सबदत', 'सथन', 'भषच', 'मसत', 'परभव', 'पडत']","{'word_length': 3.5714285714285716, 'sentence_length': 21.0, 'char_ngrams': 93, 'prefix_suffix_count': 40, 'unique_roots_count': 19}"
കഴനത തമഴർകക കളനത എനന മറയരപതതൽ അറയമങകല കഴവ തമഴൽ ഇലല,ml,80,"['കഴനത', 'തമഴർകക', 'കളനത', 'എനന', 'മറയരപതതൽ', 'അറയമങകല', 'കഴവ', 'തമഴൽ', 'ഇലല']","{'word_length': 4.666666666666667, 'sentence_length': 9.0, 'char_ngrams': 48, 'prefix_suffix_count': 18, 'unique_roots_count': 9}"
എനനൽ ഈ സവധന രജകകനമരല മററമയരനനങകല ജനങങളട വയവഹരഭഷ മലനട ഭഷ തനനയയരനന,ml,106,"['എനനൽ', 'ഈ', 'സവധന', 'രജകകനമരല', 'മററമയരനനങകല', 'ജനങങളട', 'വയവഹരഭഷ', 'മലനട', 'ഭഷ', 'തനനയയരനന']","{'word_length': 5.5, 'sentence_length': 10.0, 'char_ngrams': 62, 'prefix_suffix_count': 16, 'unique_roots_count': 10}"
ककण लखत interest वढलय,kok,32,"['ककण', 'लखत', 'interest', 'वढलय']","{'word_length': 4.5, 'sentence_length': 4.0, 'char_ngrams': 19, 'prefix_suffix_count': 8, 'unique_roots_count': 4}"
আধনক বল শবদভণডর মগধ পরকত পল সসকত ফরস আরব ভষ এব অসটরএশয ভষসমহ সহ অনযনয ভষ পরবরর শবদ সথন পযছ,bn,145,"['আধনক', 'বল', 'শবদভণডর', 'মগধ', 'পরকত', 'পল', 'সসকত', 'ফরস', 'আরব', 'ভষ', 'এব', 'অসটরএশয', 'ভষসমহ', 'সহ', 'অনযনয', 'ভষ', 'পরবরর', 'শবদ', 'সথন', 'পযছ']","{'word_length': 3.55, 'sentence_length': 20.0, 'char_ngrams': 88, 'prefix_suffix_count': 28, 'unique_roots_count': 19}"
தமழநட tamil nadu எனபத இநதயவன 28 மநலஙகளல ஒனறகம,ta,68,"['தமழநட', 'tamil', 'nadu', 'எனபத', 'இநதயவன', '28', 'மநலஙகளல', 'ஒனறகம']","{'word_length': 4.75, 'sentence_length': 8.0, 'char_ngrams': 43, 'prefix_suffix_count': 14, 'unique_roots_count': 8}"
भषवद हनद एव उरद क एक ह भष समझत ह,hi,48,"['भषवद', 'हनद', 'एव', 'उरद', 'क', 'एक', 'ह', 'भष', 'समझत', 'ह']","{'word_length': 2.3, 'sentence_length': 10.0, 'char_ngrams': 30, 'prefix_suffix_count': 8, 'unique_roots_count': 9}"
दवनगर गयत ओपचरक लप आस,kok,33,"['दवनगर', 'गयत', 'ओपचरक', 'लप', 'आस']","{'word_length': 3.4, 'sentence_length': 5.0, 'char_ngrams': 19, 'prefix_suffix_count': 6, 'unique_roots_count': 5}"
கஞசபரததத தல நகரமகக கணட தமழநடடன பரமபகதயத தஙகள கடடபபடடககள வததரநதனர,ta,108,"['கஞசபரததத', 'தல', 'நகரமகக', 'கணட', 'தமழநடடன', 'பரமபகதயத', 'தஙகள', 'கடடபபடடககள', 'வததரநதனர']","{'word_length': 6.222222222222222, 'sentence_length': 9.0, 'char_ngrams': 62, 'prefix_suffix_count': 16, 'unique_roots_count': 9}"
2013 മയ 23ന ചർനന കനദരമനതരസഭയഗമണ മലയളതത ശരഷഠഭഷയയ അഗകരചചത ഇനതയൻ ഭരണഘടനയല എടട ഷഡയളൽ ഉൾപപടതതയരകകനന ഇനതയയല ഇരപതതരണട ഔദയഗക ഭഷകളൽ ഒനനണ മലയള6,ml,206,"['2013', 'മയ', '23ന', 'ചർനന', 'കനദരമനതരസഭയഗമണ', 'മലയളതത', 'ശരഷഠഭഷയയ', 'അഗകരചചത', 'ഇനതയൻ', 'ഭരണഘടനയല', 'എടട', 'ഷഡയളൽ', 'ഉൾപപടതതയരകകനന', 'ഇനതയയല', 'ഇരപതതരണട', 'ഔദയഗക', 'ഭഷകളൽ', 'ഒനനണ', 'മലയള6']","{'word_length': 6.052631578947368, 'sentence_length': 19.0, 'char_ngrams': 131, 'prefix_suffix_count': 36, 'unique_roots_count': 19}"
తలగ అజత భష,te,16,"['తలగ', 'అజత', 'భష']","{'word_length': 2.6666666666666665, 'sentence_length': 3.0, 'char_ngrams': 8, 'prefix_suffix_count': 4, 'unique_roots_count': 3}"
अनक लखक व कव यन रजशरय हत,mr,36,"['अनक', 'लखक', 'व', 'कव', 'यन', 'रजशरय', 'हत']","{'word_length': 2.5714285714285716, 'sentence_length': 7.0, 'char_ngrams': 22, 'prefix_suffix_count': 6, 'unique_roots_count': 7}"
like icelandic and faroese the development of english in the british isles isolated it from the continental germanic languages and influences and it has since diverged considerably,en,182,"['like', 'icelandic', 'and', 'faroese', 'the', 'development', 'of', 'english', 'in', 'the', 'british', 'isles', 'isolated', 'it', 'from', 'the', 'continental', 'germanic', 'languages', 'and', 'influences', 'and', 'it', 'has', 'since', 'diverged', 'considerably']","{'word_length': 5.703703703703703, 'sentence_length': 27.0, 'char_ngrams': 178, 'prefix_suffix_count': 46, 'unique_roots_count': 22}"
in modern english the loss of grammatical case is almost complete it is now only found in pronouns such as he and him she and her who and whom and svo word order is mostly fixed,en,184,"['in', 'modern', 'english', 'the', 'loss', 'of', 'grammatical', 'case', 'is', 'almost', 'complete', 'it', 'is', 'now', 'only', 'found', 'in', 'pronouns', 'such', 'as', 'he', 'and', 'him', 'she', 'and', 'her', 'who', 'and', 'whom', 'and', 'svo', 'word', 'order', 'is', 'mostly', 'fixed']","{'word_length': 3.9444444444444446, 'sentence_length': 36.0, 'char_ngrams': 175, 'prefix_suffix_count': 54, 'unique_roots_count': 29}"
۱۸۵۷ بغاوتہ پتہ گیہ تم آگرا,ks,36,"['۱۸۵۷', 'بغاوتہ', 'پتہ', 'گیہ', 'تم', 'آگرا']","{'word_length': 3.6666666666666665, 'sentence_length': 6.0, 'char_ngrams': 25, 'prefix_suffix_count': 10, 'unique_roots_count': 6}"
